time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2015-01-08T17:45:21.080Z,33.968,-97.299,8.3,2.5,mb_lg,,,,0.49,us,usc000te3s,2015-04-10T18:56:27.040Z,"17km WNW of Marietta, Oklahoma",earthquake,4.5,2.9,0.109,24,reviewed,tul,us
2015-01-08T13:24:31.750Z,32.8282,-96.9008,5,2.3,mb_lg,,96,0.066,0.34,us,usc000te2z,2015-04-10T18:56:27.040Z,"4km ENE of Irving, Texas",earthquake,2.7,2,0.51,2,reviewed,us,us
2015-01-08T10:08:24.730Z,32.8408,-96.9143,5,2.1,mb_lg,,96,0.05,0.52,us,usc000te2m,2015-04-10T18:56:27.040Z,"4km NE of Irving, Texas",earthquake,2.1,2,0.255,4,reviewed,us,us
2015-01-07T15:57:30.110Z,32.8464,-96.9171,7.24,2.7,mb_lg,,64,0.533,0.36,us,usc000tce9,2015-05-03T15:41:42.645Z,"4km NE of Irving, Texas",earthquake,2,8,0.124,20,reviewed,us,us
2015-01-07T14:34:02.760Z,32.8367,-96.9063,5,2.7,mb_lg,,64,0.572,1.19,us,usc000tcdk,2015-03-27T07:02:30.040Z,"4km ENE of Irving, Texas",earthquake,2.3,2,0.12,19,reviewed,us,us
2015-01-07T07:24:29.160Z,32.8473,-96.8896,4.27,2.3,mb_lg,,77,0.57,0.27,us,usc000tcy5,2015-03-27T07:02:26.040Z,"6km NE of Irving, Texas",earthquake,2.5,8,0.208,8,reviewed,us,us
2015-01-07T06:59:03.320Z,32.8417,-96.9131,5,3.1,mb_lg,,38,0.565,0.72,us,usc000tcc6,2015-03-27T07:02:26.040Z,"4km NE of Irving, Texas",earthquake,2.4,2,0.092,65,reviewed,us,us
2015-01-07T05:02:52.910Z,32.8512,-96.8844,5,1.6,ml,,97,0.569,0.16,us,usc000tcb8,2015-03-27T07:02:25.040Z,"7km NE of Irving, Texas",earthquake,2,2,0.148,6,reviewed,us,us
2015-01-07T04:05:14.350Z,32.8588,-96.9174,5,2.4,mb_lg,,76,0.548,0.56,us,usc000tcay,2015-03-27T07:02:24.040Z,"5km NNE of Irving, Texas",earthquake,1.6,2,0.255,5,reviewed,us,us
2015-01-07T03:54:17.460Z,32.8564,-96.8819,5,1.7,ml,,97,0.566,0.5,us,usc000tcax,2015-03-27T07:02:24.040Z,"7km NE of Irving, Texas",earthquake,1.9,2,0.148,6,reviewed,us,us
2015-01-07T02:12:16.390Z,32.8485,-96.9375,5,2.7,ml,,130,0.513,0.2,us,usc000tcai,2015-03-27T07:02:23.040Z,"3km NNE of Irving, Texas",earthquake,2.4,1.6,0.148,6,reviewed,us,us
2015-01-07T02:11:17.810Z,32.8085,-96.8962,8.24,2.9,mb_lg,,65,0.554,0.55,us,usc000tcag,2015-03-27T07:02:23.040Z,"4km E of Irving, Texas",earthquake,3.4,7.8,0.088,40,reviewed,us,us
2015-01-07T00:52:09.050Z,32.847,-96.8922,5,3.6,mb_lg,,36,0.551,0.52,us,usc000tca7,2015-05-19T17:27:29.897Z,"6km NE of Irving, Texas",earthquake,3.3,2,0.054,99,reviewed,us,us
2015-01-06T21:10:31.550Z,32.835,-96.9027,5.93,3.5,mb_lg,,38,0.547,0.19,us,usc000tc7z,2017-08-25T12:29:19.672Z,"4km ENE of Irving, Texas",earthquake,3.5,7.7,0.055,99,reviewed,us,us
2015-01-06T13:37:15.180Z,32.8487,-96.8883,5,2.3,mb_lg,,77,0.57,0.33,us,usc000tcbs,2015-03-27T07:02:16.040Z,"6km NE of Irving, Texas",earthquake,2.1,2,0.255,6,reviewed,us,us
2015-01-02T02:29:03.610Z,32.8438,-96.9034,2.25,2.4,mb_lg,,64,0.567,0.45,us,usc000tb7y,2015-03-27T07:01:08.040Z,"5km NE of Irving, Texas",earthquake,4,7,0.18,10,reviewed,us,us
2014-12-30T14:10:09.220Z,32.8372,-96.9132,3.09,2.7,mb_lg,,64,0.535,0.57,us,usc000tash,2015-03-17T02:38:09.040Z,"4km NE of Irving, Texas",earthquake,2.6,7.9,0.124,21,reviewed,us,us
2014-12-29T06:28:21.550Z,34.7446,-100.3593,5,2.6,mb_lg,,88,1.096,1.18,us,usc000tahx,2015-03-17T02:37:51.040Z,"16km E of Memphis, Texas",earthquake,4.5,2,0.255,5,reviewed,us,us
2014-12-23T04:50:17.210Z,35.4417,-97.9273,7.817,2.9,ml,,,,0.74,us,usc000t9c1,2017-07-14T19:52:21.992Z,"5km NNE of Union City, Oklahoma",earthquake,2.3,6.9,,,reviewed,tul,tul
2014-12-20T05:08:11.390Z,32.8304,-96.9188,3.18,2.4,mb_lg,,78,0.554,0.48,us,usc000t8n5,2015-03-06T02:59:05.040Z,"3km ENE of Irving, Texas",earthquake,2.5,7.9,0.361,4,reviewed,us,us
2014-12-19T16:38:30.010Z,32.8245,-96.9317,8.13,2.4,mb_lg,,78,0.545,1.26,us,usc000t8bj,2015-03-06T02:59:04.040Z,"1km NE of Irving, Texas",earthquake,3,6.9,0.193,9,reviewed,us,us
2014-12-17T22:19:00.790Z,32.8507,-96.9193,5,2.6,mb_lg,,76,0.548,0.41,us,usc000t7sp,2017-08-25T12:03:13.400Z,"4km NE of Irving, Texas",earthquake,2.8,2,0.147,14,reviewed,us,us
2014-12-15T12:00:59.380Z,32.8412,-96.9009,4.16,2.7,mb_lg,,64,0.566,0.52,us,usc000t6wa,2015-03-04T21:55:05.040Z,"5km NE of Irving, Texas",earthquake,1.8,7,0.117,21,reviewed,us,us
2014-12-12T03:25:38.030Z,32.8501,-96.8902,3.02,2.7,mb_lg,,64,0.568,0.63,us,usc000t5ux,2015-03-04T21:54:59.040Z,"6km NE of Irving, Texas",earthquake,2,7.1,0.111,27,reviewed,us,us
2014-12-10T04:44:48.610Z,32.8621,-96.9338,5,2,ml,,75,0.534,0.5,us,usc000t526,2015-03-04T21:54:54.040Z,"5km NNE of Irving, Texas",earthquake,1.4,2,0.148,6,reviewed,us,us
2014-12-07T20:57:22.500Z,34.1752,-96.7559,5,3,ml,,207,,1.43,us,usc000t4g8,2015-02-28T02:16:12.040Z,"9km N of Madill, Oklahoma",earthquake,3.5,2,,,reviewed,tul,tul
2014-12-02T15:36:21.880Z,32.836,-96.893,5,2.7,mb_lg,,,,1.23,us,usb000t26f,2015-02-24T00:35:16.040Z,"5km ENE of Irving, Texas",earthquake,3.4,7.3,0.161,11,reviewed,us,us
2014-11-25T22:39:22.980Z,32.8404,-96.8922,2.58,2.7,mb_lg,,64,0.552,0.88,us,usb000t02m,2015-02-18T03:31:00.040Z,"6km ENE of Irving, Texas",earthquake,2.4,7.9,0.12,21,reviewed,us,us
2014-11-25T05:47:54.460Z,32.8481,-96.9013,5,2.2,mb_lg,,96,0.564,0.55,us,usb000szsg,2015-02-18T03:30:58.040Z,"5km NE of Irving, Texas",earthquake,2.6,2,0.295,3,reviewed,us,us
2014-11-24T13:06:36.030Z,32.846,-96.8955,5,2.4,mb_lg,,77,0.569,0.15,us,usb000szjr,2015-02-18T03:30:57.040Z,"6km NE of Irving, Texas",earthquake,2.3,2,0.255,4,reviewed,us,us
2014-11-23T21:40:46.520Z,32.8449,-96.9343,8.01,2.5,mb_lg,,56,0.537,0.5,us,usb000szen,2015-02-18T03:30:56.040Z,"3km NNE of Irving, Texas",earthquake,2.3,7.3,0.161,14,reviewed,us,us
2014-11-23T03:15:47.770Z,32.8346,-96.8932,3.96,3.3,mb_lg,,34,0.552,0.46,us,usb000sz6q,2015-05-18T18:41:20.613Z,"5km ENE of Irving, Texas",earthquake,4.3,7.2,0.064,76,reviewed,us,us
2014-11-15T19:19:46.410Z,32.8481,-96.9576,5,2.6,mb_lg,,76,0.518,0.53,us,usc000sxzp,2015-02-12T01:42:49.040Z,"3km NNW of Irving, Texas",earthquake,1.9,2,0.17,11,reviewed,us,us
2014-11-10T09:04:05.600Z,32.8183,-96.8902,5,2.3,mb_lg,,79,0.58,1.1,us,usc000sw57,2015-01-31T02:50:15.040Z,"5km E of Irving, Texas",earthquake,1.6,2,0.228,7,reviewed,us,us
2014-11-08T21:08:30.500Z,34.5875,-97.5172,3.658,2.5,ml,,103,,0.54,us,usc000svqt,2015-01-31T02:50:11.040Z,"27km SSW of Maysville, Oklahoma",earthquake,3.7,7.9,,,reviewed,tul,tul
2014-11-07T16:00:29.600Z,34.0731,-97.4701,5,2.9,ml,,136,,0.5,us,usc000svfb,2017-07-14T20:54:09.393Z,"10km SSW of Wilson, Oklahoma",earthquake,3.5,6.7,,,reviewed,tul,tul
2014-11-07T14:44:34.100Z,34.0647,-97.4417,13.511,2.6,ml,,134,,1.1,us,usc000svfl,2015-01-31T02:50:08.040Z,"10km S of Wilson, Oklahoma",earthquake,3.1,2.2,,,reviewed,tul,tul
2014-11-04T21:24:53.000Z,34.52,-97.72,5,2.8,ml,,140,,0.87,us,usc000subt,2015-01-20T09:03:18.040Z,"15km SE of Bray, Oklahoma",earthquake,2.6,2,,,reviewed,tul,tul
2014-11-04T14:06:44.900Z,34.505,-97.7135,5,2.6,ml,,123,,0.56,us,usc000stwh,2015-01-20T09:03:17.040Z,"17km SSE of Bray, Oklahoma",earthquake,1.5,2,,,reviewed,tul,tul
2014-10-28T07:15:01.840Z,32.8431,-96.9058,5,2.4,mb_lg,,77,0.561,0.74,us,usb000sr8l,2015-01-30T22:27:11.531Z,"5km NE of Irving, Texas",earthquake,2.2,2,0.193,8,reviewed,us,us
2014-10-01T21:32:18.700Z,32.8499,-96.9824,6.56,2.1,mb_lg,,93,0.497,0.45,us,usb000sid5,2014-12-23T01:41:57.040Z,"5km NW of Irving, Texas",earthquake,2.4,7.1,0.295,5,reviewed,us,us
2014-09-24T13:35:43.000Z,34.4355,-97.6401,5,2.5,ml,,144,,0.45,us,usb000sfk8,2014-12-20T00:53:56.040Z,"26km NNW of Healdton, Oklahoma",earthquake,2.2,1.2,,,reviewed,tul,tul
2014-09-23T13:37:10.900Z,34.6213,-97.556,5,3,ml,,118,,0.42,us,usb000sf8f,2014-12-19T00:05:27.040Z,"24km S of Lindsay, Oklahoma",earthquake,3.5,1.6,,,reviewed,tul,tul
2014-09-22T19:28:34.700Z,34.6292,-97.5457,5,3.6,ml,,103,,1.01,us,usb000sf0t,2015-01-30T08:23:03.517Z,"23km SSE of Lindsay, Oklahoma",earthquake,4.3,2,,,reviewed,tul,tul
2014-09-12T23:03:46.430Z,32.7335,-97.1299,5,2.5,mb_lg,,69,0.43,0.68,us,usb000sc1x,2015-01-29T22:21:42.777Z,"2km W of Arlington, Texas",earthquake,3,2,0.18,10,reviewed,us,us
2014-09-11T08:21:58.780Z,32.8153,-96.9178,5,2.8,mb_lg,,65,0.535,0.93,us,usb000sbaw,2015-01-07T01:15:57.840Z,"2km E of Irving, Texas",earthquake,2.4,2,0.076,51,reviewed,us,us
2014-09-07T08:56:11.070Z,32.7397,-97.1132,4.12,2.4,mb_lg,,41,0.438,0.53,us,usb000sa4b,2015-01-29T00:36:42.368Z,"0km NW of Arlington, Texas",earthquake,1.7,7.1,0.1,31,reviewed,us,us
2014-09-02T20:55:15.200Z,35.5317,-98.0839,5,2.7,ml,,103,,0.84,us,usc000s94v,2014-11-29T00:09:25.000Z,"11km W of El Reno, Oklahoma",earthquake,1.7,2,,,reviewed,tul,tul
2014-08-13T04:11:25.500Z,35.0159,-97.8288,5,2.5,ml,,104,,0.47,us,usb000s3sp,2014-11-15T04:07:06.000Z,"10km ESE of Chickasha, Oklahoma",earthquake,,2,,,reviewed,tul,tul
2014-07-20T11:43:55.460Z,32.8386,-96.8669,3.23,2.2,mb_lg,,75,0.588,0.81,us,usb000rusj,2015-01-31T01:29:49.722Z,"6km WSW of University Park, Texas",earthquake,,7.3,0.136,17,reviewed,us,us
2014-07-09T04:25:13.800Z,34.0708,-97.4796,7.977,2.5,ml,,137,,0.4,us,usb000rr8e,2014-10-10T08:02:09.000Z,"11km SSW of Wilson, Oklahoma",earthquake,,1.3,,,reviewed,tul,tul
2014-07-09T00:14:35.200Z,34.0663,-97.4892,5,2.9,ml,,138,,1.13,us,usb000rr53,2014-10-10T08:02:09.000Z,"12km SSW of Wilson, Oklahoma",earthquake,,2,,,reviewed,tul,tul
2014-07-08T17:41:50.900Z,34.0652,-97.4709,5,2.9,ml,,136,,1.34,us,usc000rrs3,2014-10-04T20:00:01.000Z,"11km SSW of Wilson, Oklahoma",earthquake,,1.9,,,reviewed,tul,tul
2014-07-08T00:05:49.500Z,34.0746,-97.4959,4.212,2.8,ml,,138,,0.53,us,usc000rrn0,2014-10-04T20:00:00.000Z,"11km SSW of Wilson, Oklahoma",earthquake,,7.9,,,reviewed,tul,tul
2014-07-07T14:38:21.500Z,34.0713,-97.468,7.727,3.2,ml,,136,,0.58,us,usc000rr8a,2015-01-30T15:33:29.760Z,"10km SSW of Wilson, Oklahoma",earthquake,,7.8,,,reviewed,tul,tul
2014-07-07T13:59:52.050Z,34.087,-97.488,7.4,2.5,ml,,,,0.49,us,usb000rrne,2014-10-04T19:59:59.000Z,"10km SW of Wilson, Oklahoma",earthquake,,8.2,,,reviewed,tul,tul
2014-06-21T19:21:46.500Z,34.5517,-97.6934,5,2.9,ml,,135,,0.98,us,usc000rjpb,2015-01-30T23:04:44.927Z,"14km SE of Bray, Oklahoma",earthquake,,2,,,reviewed,tul,tul
2014-06-10T21:54:27.900Z,34.3919,-97.6347,5,2.6,ml,,137,,0.87,us,usc000rdqd,2014-08-30T17:02:58.000Z,"22km NW of Healdton, Oklahoma",earthquake,,2,,,reviewed,tul,tul
2014-05-25T10:58:55.200Z,34.0716,-97.4914,5,2.5,ml,,137,,0.43,us,usb000r3dg,2015-01-31T00:26:23.161Z,"11km SSW of Wilson, Oklahoma",earthquake,,2,,,reviewed,tul,tul
2014-05-24T05:33:13.900Z,35.1205,-97.8516,12.998,2.7,ml,,156,,1.1,us,usb000r2d0,2015-01-31T01:42:00.178Z,"10km NE of Chickasha, Oklahoma",earthquake,,7.7,,,reviewed,tul,tul
2014-04-29T17:06:40.400Z,34.4297,-97.6138,5,2.7,ml,,142,,0.9,us,usb000q42s,2014-07-14T20:11:23.000Z,"24km NNW of Healdton, Oklahoma",earthquake,,2,,,reviewed,tul,tul
2014-04-29T14:08:05.200Z,34.4259,-97.6097,5,2.5,ml,,123,,1.04,us,usb000q3sf,2014-07-14T20:11:23.000Z,"24km NNW of Healdton, Oklahoma",earthquake,,2,,,reviewed,tul,tul
2014-04-28T23:04:42.800Z,34.4288,-97.6129,5,2.6,ml,,142,,0.93,us,usb000q34h,2014-07-14T20:11:22.000Z,"24km NNW of Healdton, Oklahoma",earthquake,,0.9,,,reviewed,tul,tul
2014-04-28T17:45:54.600Z,34.4081,-97.6597,5,2.5,ml,,127,,0.93,us,usb000q2ks,2014-07-14T20:11:22.000Z,"25km NW of Healdton, Oklahoma",earthquake,,2,,,reviewed,tul,tul
2014-04-28T16:04:07.700Z,34.4296,-97.6437,5,2.5,ml,,125,,0.58,us,usb000q2ga,2015-01-30T12:24:54.505Z,"26km NNW of Healdton, Oklahoma",earthquake,,1.6,,,reviewed,tul,tul
2014-04-17T19:44:20.040Z,32.8634,-96.9079,5,2.4,mb_lg,,76,0.548,0.33,us,usb000ppuk,2016-09-03T17:21:33.332Z,"6km NE of Irving, Texas",earthquake,,2,0.154,13,reviewed,us,us
2014-03-13T08:07:24.990Z,35.049,-97.028,19.4,2.5,ml,,,,0.45,us,usc000na9d,2014-05-16T21:51:39.000Z,"24km SSW of Tecumseh, Oklahoma",earthquake,,4.5,,,reviewed,tul,tul
2014-02-02T07:32:51.140Z,32.6451,-97.4354,4.99,2.4,mb_lg,,97,0.232,0.62,us,usc000mflh,2015-01-30T08:22:25.900Z,"3km SE of Benbrook, Texas",earthquake,,2,0.193,10,reviewed,us,us
2014-01-28T17:54:44.300Z,32.9453,-97.5339,5,2.5,mb_lg,,113,0.016,0.59,us,usc000mcpa,2015-01-30T18:04:08.255Z,"3km NNW of Pelican Bay, Texas",earthquake,,1.8,0.255,5,reviewed,us,us
2014-01-28T09:52:29.850Z,35.578,-98.07,16.5,2.9,ml,,,,1.02,us,usb000m9jx,2015-01-30T03:01:14.677Z,"11km WNW of El Reno, Oklahoma",earthquake,,2,,,reviewed,tul,tul
2014-01-13T17:40:21.580Z,32.9391,-97.5529,5,3.1,mb_lg,,53,0.014,0.61,us,usc000m283,2015-01-29T17:39:05.943Z,"2km ESE of Reno, Texas",earthquake,,1.9,0.084,41,reviewed,us,us
2014-01-11T20:55:25.250Z,32.9125,-97.4787,6.24,2.2,mb_lg,,133,0.054,0.36,us,usc000m1fr,2015-01-30T14:49:01.115Z,"3km WNW of Eagle Mountain, Texas",earthquake,,2.6,0.255,5,reviewed,us,us
2013-12-25T20:55:49.000Z,34.953,-97.373,5,2.8,ml,,,,0.56,us,usc000lri7,2017-06-26T21:56:09.329Z,"6km S of Purcell, Oklahoma",earthquake,,6.5,,,reviewed,tul,tul
2013-12-23T13:11:34.040Z,32.9284,-97.5789,6.39,3.3,mb_lg,,42,0.013,0.44,us,usc000lqat,2015-01-28T20:16:49.771Z,"1km S of Reno, Texas",earthquake,,6.5,0.074,,reviewed,us,us
2013-12-22T17:31:54.990Z,32.9619,-97.5552,5,3.3,mb_lg,,38,0.028,0.58,us,usc000lq03,2015-01-29T02:11:26.609Z,"2km NE of Reno, Texas",earthquake,,1.9,0.068,,reviewed,us,us
2013-12-17T20:09:04.870Z,32.9543,-97.5546,5,2.1,mb_lg,,90,0.027,0.69,us,usc000lmng,2014-02-27T21:37:20.000Z,"2km ENE of Reno, Texas",earthquake,,1.7,0.361,,reviewed,us,us
2013-12-15T04:54:16.010Z,32.9379,-97.6196,5.05,2.9,mb_lg,,57,0.954,0.9,us,usc000lkxx,2015-01-29T18:16:33.649Z,"4km W of Reno, Texas",earthquake,,2,0.147,,reviewed,us,us
2013-12-14T03:32:29.490Z,33.7122,-96.8048,4.69,2.7,mb_lg,,117,1.229,0.51,us,usc000lkgp,2017-06-26T21:57:31.025Z,"11km ENE of Whitesboro, Texas",earthquake,,2,0.255,,reviewed,us,us
2013-12-13T05:43:04.430Z,33.7031,-96.6921,5,2.6,mb_lg,,106,1.302,1.1,us,usc000ljwu,2017-06-26T21:57:40.598Z,"6km SSW of Pottsboro, Texas",earthquake,,2,0.18,,reviewed,us,us
2013-12-11T17:42:21.810Z,33.6998,-96.7133,5,2.7,mb_lg,,143,1.292,0.33,us,usc000lit1,2014-02-21T23:00:51.000Z,"7km SSW of Pottsboro, Texas",earthquake,,2,0.193,,reviewed,us,us
2013-12-10T15:39:49.450Z,32.8951,-97.5437,5,2.7,mb_lg,,99,0.904,0.85,us,usc000lhsg,2015-01-30T02:23:30.869Z,"0km E of Azle, Texas",earthquake,,2,0.154,,reviewed,us,us
2013-12-09T09:23:14.340Z,32.9576,-98.0594,5,3.7,mb_lg,,35,1.09,0.85,us,usb000ldzh,2017-03-20T20:58:15.402Z,"17km NNE of Mineral Wells, Texas",earthquake,,2,0.065,,reviewed,us,us
2013-12-08T06:10:04.010Z,32.9144,-97.5817,4.99,3.6,mb_lg,,88,0.926,0.53,us,usb000ldmx,2015-01-28T12:16:17.485Z,"3km WNW of Azle, Texas",earthquake,,2,0.071,,reviewed,us,us
2013-12-03T15:44:32.210Z,32.9387,-97.5545,5,2.7,mb_lg,,98,0.948,0.63,us,usb000lac6,2015-01-29T23:16:46.085Z,"2km ESE of Reno, Texas",earthquake,,2,0.093,,reviewed,us,us
2013-11-29T06:14:09.070Z,32.9093,-97.5205,5,3.1,mb_lg,,39,0.917,1.29,us,usb000l7w7,2015-01-29T03:54:19.421Z,"1km S of Pelican Bay, Texas",earthquake,,2,0.092,,reviewed,us,us
2013-11-28T08:41:07.600Z,33.0291,-98.2141,4.99,2.8,mb_lg,,85,1.217,0.44,us,usb000l7m9,2014-02-12T01:08:35.000Z,"21km SSW of Jacksboro, Texas",earthquake,,2,0.128,,reviewed,us,us
2013-11-28T07:58:35.690Z,32.9735,-98.0894,5,3.7,mb,,35,1.116,1.33,us,usb000l7lw,2017-03-26T22:48:57.495Z,"18km N of Mineral Wells, Texas",earthquake,,1.9,0.355,,reviewed,us,us
2013-11-26T20:03:28.540Z,32.9594,-97.6176,2.27,2.8,mb_lg,,57,0.974,0.99,us,usb000l77a,2015-01-29T17:17:40.319Z,"4km WNW of Reno, Texas",earthquake,,5.8,0.124,,reviewed,us,us
2013-11-26T16:00:54.250Z,34.43,-97.609,5,2.5,ml,,,,1.02,us,usb000l6wt,2017-06-26T22:00:14.916Z,"24km NNW of Healdton, Oklahoma",earthquake,,2,,,reviewed,tul,tul
2013-11-26T14:24:03.850Z,32.908,-97.5587,5,2.7,ml,,112,0.918,0.52,us,usb000l6rp,2015-01-29T23:38:21.155Z,"1km NW of Azle, Texas",earthquake,,2,0.181,,reviewed,us,us
2013-11-26T01:55:21.460Z,32.9479,-97.5353,5,2.8,mb_lg,,61,0.956,0.59,us,usb000l76q,2015-01-29T17:56:45.994Z,"3km E of Reno, Texas",earthquake,,2,0.208,,reviewed,us,us
2013-11-25T07:43:02.950Z,32.9195,-97.6182,5,3.4,mb_lg,,43,0.935,0.63,us,usb000l63h,2015-01-28T20:23:07.558Z,"4km SW of Reno, Texas",earthquake,,2,0.128,,reviewed,us,us
2013-11-23T09:43:32.440Z,32.9152,-97.5983,5,2.9,mb_lg,,88,0.929,0.63,us,usb000l53l,2015-01-30T01:27:21.190Z,"3km SSW of Reno, Texas",earthquake,,2,0.088,,reviewed,us,us
2013-11-21T05:53:57.040Z,32.9232,-97.578,5,2.1,mb_lg,,111,0.934,0.46,us,usb000l44l,2014-02-11T02:18:53.000Z,"2km S of Reno, Texas",earthquake,,2,0.255,,reviewed,us,us
2013-11-20T00:40:34.950Z,32.9116,-97.5509,5,3.6,mb_lg,,30,0.921,0.71,us,usb000l2kc,2017-06-21T23:12:50.357Z,"1km NNW of Azle, Texas",earthquake,,2,0.064,,reviewed,us,us
2013-11-19T18:03:37.000Z,32.9086,-97.5903,5,2.8,mb_lg,,59,0.921,0.78,us,usb000l2d2,2015-01-29T22:32:38.788Z,"4km WNW of Azle, Texas",earthquake,,2,0.109,,reviewed,us,us
2013-11-19T17:57:18.940Z,32.9437,-97.5992,5,2.5,mb_lg,,105,0.957,0.71,us,usb000l2bu,2015-01-30T21:36:43.924Z,"2km W of Reno, Texas",earthquake,,2,0.132,,reviewed,us,us
2013-11-14T02:45:50.630Z,35.109,-97.821,5,2.4,ml,,,,0.41,us,usb000kyt2,2017-06-26T22:01:53.782Z,"12km ENE of Chickasha, Oklahoma",earthquake,,2,,,reviewed,tul,tul
2013-11-13T09:01:33.890Z,32.9574,-97.5029,5,2.6,mb_lg,,62,0.964,0.49,us,usb000kxr1,2015-01-30T23:43:03.380Z,"2km WSW of Pecan Acres, Texas",earthquake,,2,0.161,,reviewed,us,us
2013-11-11T08:30:54.280Z,32.9923,-97.5436,5,2.8,mb_lg,,41,1,0.8,us,usb000kvpm,2015-01-29T16:47:53.248Z,"0km SSW of Briar, Texas",earthquake,,2,0.096,,reviewed,us,us
2013-11-09T19:54:31.820Z,32.9197,-97.6665,5,3,mb_lg,,38,0.942,0.91,us,usb000kv9n,2015-01-29T21:35:47.231Z,"5km SSE of Springtown, Texas",earthquake,,2,0.081,,reviewed,us,us
2013-11-09T03:34:07.100Z,32.8873,-97.618,5,2.3,mb_lg,,58,0.903,1.18,us,usb000kv22,2015-01-31T02:32:33.856Z,"6km W of Azle, Texas",earthquake,,2,0.17,,reviewed,us,us
2013-11-08T04:32:56.870Z,32.9556,-97.6719,5,2.8,mb_lg,,38,0.978,0.56,us,usb000kug7,2016-09-07T07:11:45.121Z,"1km SE of Springtown, Texas",earthquake,,0.9,0.1,,reviewed,us,us
2013-11-06T17:05:47.700Z,32.8884,-97.6784,5,2.6,mb_lg,,105,0.914,0.83,us,usb000kttf,2014-01-17T00:29:10.000Z,"8km S of Springtown, Texas",earthquake,,2,0.154,,reviewed,us,us
2013-11-06T03:32:08.600Z,32.9194,-97.5175,5,2.6,mb_lg,,62,0.926,0.58,us,usb000ktb0,2015-01-29T03:04:29.071Z,"0km SSE of Pelican Bay, Texas",earthquake,,1.9,0.124,,reviewed,us,us
2013-11-01T21:57:23.680Z,32.8213,-97.2095,5,2.1,mb_lg,,125,0.853,0.72,us,usb000krei,2015-01-30T04:51:12.580Z,"1km ENE of Richland Hills, Texas",earthquake,,2,0.193,,reviewed,us,us
2013-10-12T03:25:23.590Z,34.086,-96.579,5,3,ml,,,,0.46,us,usb000kbi8,2013-12-24T01:42:59.000Z,"16km NE of Kingston, Oklahoma",earthquake,,2,,,reviewed,tul,tul
2013-09-23T13:56:25.540Z,33.946,-97.161,5,3.4,ml,,,,1.17,us,usb000jxyp,2017-06-26T22:08:11.292Z,"4km WNW of Marietta, Oklahoma",earthquake,,1.5,,,reviewed,tul,tul
2013-09-23T13:07:49.510Z,33.937,-97.163,15.2,2.9,ml,,,,0.78,us,usb000k25s,2013-12-09T21:11:14.000Z,"4km W of Marietta, Oklahoma",earthquake,,7.8,,,reviewed,tul,tul
2013-09-23T11:40:40.000Z,33.9544,-97.1107,8.933,3.2,ml,,,,1.15,us,usb000jxx3,2017-06-26T22:08:20.602Z,"2km NNE of Marietta, Oklahoma",earthquake,,0.8,,,reviewed,tul,tul
2013-09-22T14:55:56.940Z,33.984,-97.162,5,2.6,ml,,,,0.63,us,usb000k25p,2013-12-09T21:11:13.000Z,"6km NW of Marietta, Oklahoma",earthquake,,2,,,reviewed,tul,tul
2013-09-21T17:32:32.570Z,33.957,-97.136,6.6,2.8,ml,,,,1.04,us,usb000jx6p,2013-12-09T21:11:12.000Z,"2km NW of Marietta, Oklahoma",earthquake,,7.7,,,reviewed,tul,tul
2013-09-19T12:53:10.500Z,33.9645,-97.2127,5,2.7,ml,,,,0,us,usb000jw41,2013-12-09T21:11:08.000Z,"9km WNW of Marietta, Oklahoma",earthquake,,0,,,reviewed,tul,tul
2013-09-08T18:31:15.000Z,34.109,-96.883,5,2.9,ml,,,,1.36,us,usb000jlnk,2013-11-15T03:20:29.000Z,"8km W of Oakland, Oklahoma",earthquake,,7.2,,,reviewed,us_tul,us_tul
2013-07-28T01:04:48.000Z,35.115,-97.893,13,2.5,ml,25,100,,,us,usc000iqz3,2017-06-26T22:09:30.928Z,"7km NNE of Chickasha, Oklahoma",earthquake,,,,,reviewed,tul,tul
2013-06-30T02:55:58.000Z,34.097,-96.548,5,3,ml,28,100,,,us,usb000i3m9,2017-06-26T22:10:31.720Z,"9km E of Madill, Oklahoma",earthquake,,,,,reviewed,tul,tul
2013-06-27T08:31:17.000Z,35.13,-97.899,13.6,2.8,ml,42,100,,,us,usb000i17v,2017-06-26T22:10:40.993Z,"10km SW of Tuttle, Oklahoma",earthquake,,,,,reviewed,tul,tul
2013-06-26T23:23:03.020Z,34.978,-97.69,5.8,2.7,ml,9,100,,,us,usb000i103,2014-11-07T01:51:07.659Z,"17km S of Blanchard, Oklahoma",earthquake,,,,,reviewed,tul,tul
2013-05-31T11:16:34.700Z,34.136,-96.642,5,2.9,mblg,20,100,,,us,usb000haay,2017-06-26T22:12:46.766Z,"11km SSE of Tishomingo, Oklahoma",earthquake,,,,,reviewed,tul,us
2013-05-27T07:58:20.400Z,34.075,-96.59,6.7,3.2,ml,34,100,,,us,usb000h6ye,2017-07-14T19:34:11.672Z,"15km ENE of Kingston, Oklahoma",earthquake,,,,,reviewed,tul,tul
2013-05-26T02:34:35.060Z,35.444,-97.475,5,2.2,mblg,12,70.4,,0.94,us,usb000h6l4,2017-06-26T22:13:14.141Z,"6km WNW of Spencer, Oklahoma",earthquake,,,,,reviewed,us,us
