time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2016-07-07T20:39:03.600Z,35.0813,-97.5968,3.335,2.8,ml,,87,,0.47,us,us100061qe,2016-09-02T21:36:42.040Z,"8km SE of Blanchard, Oklahoma",earthquake,1.5,5.2,,,reviewed,tul,tul
2016-07-07T17:56:45.400Z,35.0807,-97.5968,5,2.8,ml,,102,,0.32,us,us100061nm,2016-09-02T21:36:41.040Z,"8km SE of Blanchard, Oklahoma",earthquake,1.7,3.8,,,reviewed,tul,tul
2016-06-29T15:15:39.100Z,34.9892,-97.797,4.072,2.8,ml,,152,,0.48,us,us200067yy,2016-08-31T03:08:22.040Z,"12km ENE of Ninnekah, Oklahoma",earthquake,2.7,7.8,,,reviewed,tul,tul
2016-06-29T14:15:16.900Z,35.0083,-97.795,5.445,3,ml,,125,,0.18,us,us200067yi,2016-08-31T03:08:22.040Z,"13km ESE of Chickasha, Oklahoma",earthquake,1.1,4.2,,,reviewed,tul,tul
2016-05-20T00:15:45.400Z,35.072,-97.5464,3.157,2.5,ml,,111,,0.62,us,us10005inn,2016-08-03T22:33:38.040Z,"9km SW of Goldsby, Oklahoma",earthquake,1.3,6.1,,,reviewed,tul,tul
2016-05-14T12:12:08.400Z,35.0527,-97.565,7.073,2.8,ml,,113,,0.84,us,us10005he5,2016-07-22T19:39:06.040Z,"12km SE of Blanchard, Oklahoma",earthquake,1.9,5.6,,,reviewed,tul,tul
2016-05-14T03:39:27.500Z,35.0531,-97.5573,5,3.1,ml,,81,,0.57,us,us10005hci,2016-07-22T19:39:05.040Z,"12km SW of Goldsby, Oklahoma",earthquake,2.7,7.6,,,reviewed,tul,tul
2016-04-17T11:35:42.360Z,35.2986,-97.7826,6.6,2.5,mb_lg,,82,0.118,0.43,us,us20005j78,2016-06-27T23:01:59.040Z,"2km ENE of Tuttle, Oklahoma",earthquake,1.4,4,0.17,9,reviewed,us,us
2016-01-31T06:06:21.570Z,32.8157,-96.972,5,2.1,mb_lg,,143,0.055,0.46,us,us20004w7w,2016-09-07T13:23:44.811Z,"2km W of Irving, Texas",earthquake,2.7,1.9,0.361,2,reviewed,us,us
2016-01-28T22:23:08.180Z,34.4199,-96.8075,5,2.2,mb_lg,,111,0.526,0.62,us,us20004vd0,2016-04-08T23:06:19.040Z,"17km ESE of Sulphur, Oklahoma",earthquake,2,2,0.255,5,reviewed,us,us
2015-12-17T22:29:55.710Z,32.965,-97.3421,5,3,mb_lg,,59,0.153,0.55,us,us1000481d,2016-03-12T02:29:15.040Z,"1km SSE of Haslet, Texas",earthquake,1.9,1.9,0.068,57,reviewed,us,us
